"State_Acronym","year","CORPINCTX","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","year_effective","Post","treatment","rel_year","State_Name","real_cit","logRealCitRev","real_cit_capita","detrended_CIT_capita"
"RI",2017,129732,100,NA,NA,NA,7,11.7732260630808,2015,1,1,2,"Rhode Island",52925.9138381201,10.8766483625166,50.092956761434,-7.65441781537749
"RI",2018,118118,100,NA,NA,NA,7,11.6794394037809,2015,1,1,3,"Rhode Island",47038.9116989968,10.7587304466543,44.4040633858097,-13.3606620753733
"RI",2019,176463,100,NA,NA,NA,7,12.0808665016516,2015,1,1,4,"Rhode Island",69023.3398655229,11.1421999853034,65.2297103698341,7.44763402427966
"RI",2020,213303,100,NA,NA,NA,7,12.2704689690581,2015,1,1,5,"Rhode Island",82416.5124357156,11.3195410894588,75.167096938572,17.3676697086461
"RI",2021,257943,100,NA,NA,NA,7,12.4604939092625,2015,1,1,6,"Rhode Island",95192.4567295272,11.4636559816057,86.7679800140072,28.9512018997098
"RI",2022,290800,100,NA,NA,NA,7,12.5803910246415,2015,1,1,7,"Rhode Island",99366.1478532743,11.5065667697829,90.8414084056695,33.0072794070006
"SC",1976,79732,33.34,NA,NA,NA,6,11.2864262898427,2007,0,0,-31,"South Carolina",140126.537785589,11.8503011346985,47.6028755339324,-1.85215455621324
"SC",1977,106601,33.34,NA,NA,NA,6,11.5768481715329,2007,0,0,-30,"South Carolina",175909.240924092,12.0777234644457,58.7994645565795,9.80065179669622
"SC",1978,122924,33.34,NA,NA,NA,6,11.7193215572054,2007,0,0,-29,"South Carolina",188533.742331288,12.1470322742608,61.9287780079151,13.3861825782942
"SC",1979,140185,33.34,NA,NA,NA,6,11.8507182578445,2007,0,0,-28,"South Carolina",193092.286501377,12.1709235220019,62.4840140031193,14.3976359037607
"SC",1980,153475,33.34,NA,NA,NA,6,11.9412929662957,2007,0,0,-27,"South Carolina",186256.067961165,12.1348777153684,59.4212630782067,11.7911023091105
"SC",1981,152674,33.34,NA,NA,NA,6,11.9360602082091,2007,0,0,-26,"South Carolina",167958.195819582,12.0314703930137,52.8294194141653,5.65547597533143
"SC",1982,131546,33.34,NA,NA,NA,6,11.7871118793167,2007,0,0,-25,"South Carolina",136317.098445596,11.8227390569598,42.4979746458258,-4.21975146274573
"SC",1983,128180,33.34,NA,NA,NA,6,11.7611908050582,2007,0,0,-24,"South Carolina",128694.779116466,11.7651988264558,39.7934918818805,-6.46801689642867
"SC",1984,159334,33.34,NA,NA,NA,6,11.9787579068971,2007,0,0,-23,"South Carolina",153353.22425409,11.9404991947801,46.8702356739607,1.06494422591388
"SC",1985,199771,33.34,NA,NA,NA,6,12.2049269895169,2007,0,0,-22,"South Carolina",185660.780669145,12.1316765277773,56.2061863688144,10.8571122510299
"SC",1986,188351,33.34,NA,NA,NA,6,12.1460625223708,2007,0,0,-21,"South Carolina",171853.102189781,12.0543953338449,51.4105724045178,6.51771561699569
"SC",1987,190474,33.34,NA,NA,NA,6,12.1572709812946,2007,0,0,-20,"South Carolina",167670.774647887,12.0297576609957,49.5993128389322,5.16267338167243
"SC",1988,203959,33.34,NA,NA,NA,6,12.2256742722349,2007,0,0,-19,"South Carolina",172408.284023669,12.0576206872387,50.5285560616315,6.54813393463409
"SC",1989,220379,33.34,NA,NA,NA,5,12.3031040704146,2007,0,0,-18,"South Carolina",177725,12.0879926907977,51.4135285056158,7.88932370888074
"SC",1990,150926,33.34,NA,NA,NA,5,11.9245449294502,2007,0,0,-17,"South Carolina",115475.133894415,11.6568104948081,33.0017210015063,-10.0662664649664
"SC",1991,151433,33.34,NA,NA,NA,5,11.9278985618883,2007,0,0,-16,"South Carolina",111184.287812041,11.618944354161,31.2361918521693,-11.3755782840411
"SC",1992,141895,33.34,NA,NA,NA,5,11.8628426264456,2007,0,0,-15,"South Carolina",101136.849607983,11.5242298253253,28.0890750835374,-14.0664777224106
"SC",1993,176339,33.34,NA,NA,NA,5,12.0801635577618,2007,0,0,-14,"South Carolina",122033.910034602,11.7120542361974,33.5764685649531,-8.12286691073255
"SC",1994,219052,50,NA,NA,NA,5,12.2970644235359,2007,0,0,-13,"South Carolina",147808.367071525,11.903671896662,40.3136890423682,-0.929429103055099
"SC",1995,250214,50,NA,NA,NA,5,12.4300718306853,2007,0,0,-12,"South Carolina",164182.414698163,12.0087333734209,44.3743091983208,3.58740838315985
"SC",1996,250867,50,NA,NA,NA,5,12.4326781971996,2007,0,0,-11,"South Carolina",159889.738687062,11.9822397234487,42.762998268258,2.4323147833594
"SC",1997,239350,50,NA,NA,NA,5,12.3856821948207,2007,0,0,-10,"South Carolina",149127.725856698,11.9125584382387,39.3469997241995,-0.527466430436746
"SC",1998,213622,50,NA,NA,NA,5,12.2719633770191,2007,0,0,-9,"South Carolina",131056.441717791,11.7833833622004,34.1330327754226,-5.28521604895129
"SC",1999,257488,50,NA,NA,NA,5,12.4587283960583,2007,0,0,-8,"South Carolina",154554.62184874,11.9483028523136,39.7748642338902,0.812832739778656
"SC",2000,227161,50,NA,NA,NA,5,12.3334142961652,2007,0,0,-7,"South Carolina",131916.957026713,11.7899278901596,32.780727366926,-5.72508679692319
"SC",2001,192070,50,NA,NA,NA,5,12.1656151678989,2007,0,0,-6,"South Carolina",108452.85149633,11.5940708090982,26.6797010811403,-11.3698957524465
"SC",2002,159837,50,NA,NA,NA,5,11.9819098249375,2007,0,0,-5,"South Carolina",88847.6931628683,11.3946788699691,21.6290474969827,-15.9643320063418
"SC",2003,173886,50,NA,NA,NA,5,12.0661551910636,2007,0,0,-4,"South Carolina",94503.2608695652,11.4563896194427,22.7702405079842,-14.3669216650779
"SC",2004,196510,50,NA,NA,NA,5,12.1884685995818,2007,0,0,-3,"South Carolina",104028.586553732,11.5524210110624,24.70447357092,-11.9764712718798
"SC",2005,246935,50,NA,NA,NA,5,12.4168804230833,2007,0,0,-2,"South Carolina",126438.812083973,11.7475137711887,29.6099228560995,-6.61480465643793
"SC",2006,296753,50,NA,NA,NA,5,12.6006554219406,2007,0,0,-1,"South Carolina",147198.908730159,11.8995400717315,33.7778973722939,-1.99061280998118
"SC",2007,311902,100,NA,NA,TRUE,5,12.650444314887,2007,1,1,0,"South Carolina",150428.760212596,11.9212448970345,33.8490181864525,-1.46327466556023
"SC",2008,312600,100,NA,NA,TRUE,5,12.6526796969695,2007,1,1,1,"South Carolina",145190.731202073,11.8858035446388,32.0580391773526,-2.79803634439777
"SC",2009,249200,100,NA,NA,TRUE,5,12.4260110658954,2007,1,1,2,"South Carolina",116157.119750905,11.6626990342184,25.3072677736777,-9.09259041781032
"SC",2010,148500,100,NA,NA,TRUE,5,11.9083402372249,2007,1,1,3,"South Carolina",68101.7720218659,11.1287585126782,14.6902576189688,-19.2533832422569
"SC",2011,216082,100,NA,NA,NA,5,12.2834132442548,2007,1,1,4,"South Carolina",96062.4880523164,11.4727541759069,20.5584379870366,-12.9289855439267
"SC",2012,252904,100,NA,NA,NA,5,12.4407652490612,2007,1,1,5,"South Carolina",110152.704338964,11.6096229033496,23.3422492261569,-9.68895697454407
"SC",2013,386847,100,NA,NA,NA,5,12.8657845450038,2007,1,1,6,"South Carolina",166059.401520452,12.0201008438137,34.8390814081561,2.26409253771748
"SC",2014,366263,100,NA,NA,NA,5,12.811106933564,2007,1,1,7,"South Carolina",154713.689510679,11.9493315233421,32.0526706007673,-0.0661009394089618
"SC",2015,377329,100,NA,NA,NA,5,12.8408727649123,2007,1,1,8,"South Carolina",159199.129176388,11.9779110823799,32.5161221567923,0.853567946878393
"SC",2016,408297,100,NA,NA,NA,5,12.9197501297421,2007,1,1,9,"South Carolina",170118.788202011,12.0442522261469,34.2771963749593,3.07085949530775
"SC",2017,340327,100,NA,NA,NA,5,12.7376621990989,2007,1,1,10,"South Carolina",138840.975848564,11.8410844985347,27.6184918962384,-3.1316276531508
"SC",2018,404164,100,NA,NA,NA,5,12.9095760151658,2007,1,1,11,"South Carolina",160952.900556337,11.9888670580392,31.6108249375821,1.31692271845525
"SC",2019,396207,100,NA,NA,NA,5,12.889692080935,2007,1,1,12,"South Carolina",154976.003004025,11.9510255645868,30.0474907243623,0.209805835497804
"SC",2020,505025,100,NA,NA,NA,5,13.1323632119827,2007,1,1,13,"South Carolina",195132.741653176,12.1814353323833,38.0216290699895,8.64016151138735
"SC",2021,740197,100,NA,NA,NA,5,13.5146716459673,2007,1,1,14,"South Carolina",273165.664095656,12.5178337183105,52.5940813238386,23.6688310954988
"SC",2022,1204176,100,NA,NA,NA,5,14.0013060735697,2007,1,1,15,"South Carolina",411466.06071996,12.9274818187111,77.8855887888427,49.4165558907653
"TN",1976,128621,33.34,NA,NA,NA,6,11.7646253744992,2024,0,0,-48,"Tennessee",226047.451669596,12.3285002193551,52.0016553459353,13.3043056687221
"TN",1977,156042,33.34,NA,NA,NA,6,11.9578804807648,2024,0,0,-47,"Tennessee",257495.04950495,12.4587557736776,58.2183243844849,18.2521573463792
"TN",1978,170848,33.34,NA,NA,NA,6,12.0485295512999,2024,0,0,-46,"Tennessee",262036.809815951,12.4762402683554,58.4080405018353,17.1730561028372
"TN",1979,186088,33.34,NA,NA,NA,6,12.1339749590897,2024,0,0,-45,"Tennessee",256319.55922865,12.4541802232471,56.204599660748,13.7007979008574
"TN",1980,198222,33.34,NA,NA,NA,6,12.197142893709,2024,0,0,-44,"Tennessee",240560.67961165,12.3907276427817,52.2929351721711,8.52031605138808
"TN",1981,195065,33.34,NA,NA,NA,6,12.181088115336,2024,0,0,-43,"Tennessee",214592.95929593,12.2764983001407,46.3718276709147,1.33039118923923
"TN",1982,206835,33.34,NA,NA,NA,6,12.239676652944,2024,0,0,-42,"Tennessee",214336.787564767,12.2753038305871,46.1332105258578,-0.177043316710119
"TN",1983,203858,33.34,NA,NA,NA,6,12.2251789520199,2024,0,0,-41,"Tennessee",204676.706827309,12.2291869734174,43.9244059770836,-3.65466522637677
"TN",1984,226242,33.34,NA,NA,NA,6,12.329360501821,2024,0,0,-40,"Tennessee",217749.759384023,12.2911017897039,46.4608445884681,-2.38704397588472
"TN",1985,259198,33.34,NA,NA,NA,6,12.4653475273811,2024,0,0,-39,"Tennessee",240890.334572491,12.3920970656415,51.0870016585365,0.97029573329123
"TN",1986,268618,33.34,NA,NA,NA,6,12.5010455749734,2024,0,0,-38,"Tennessee",245089.416058394,12.4093783864475,51.7207255771814,0.335202291043679
"TN",1987,298644,33.34,NA,NA,NA,6,12.6070075075518,2024,0,0,-37,"Tennessee",262890.845070423,12.4794941872528,54.9644276549532,2.31008700792303
"TN",1988,352120,33.34,NA,NA,NA,6,12.7717273055748,2024,0,0,-36,"Tennessee",297650.042265427,12.6036737205786,61.721914099744,7.79875609182137
"TN",1989,371545,33.34,NA,NA,NA,6,12.8254252663561,2024,0,0,-35,"Tennessee",299633.064516129,12.6103138867391,61.7234567987866,6.53148142997154
"TN",1990,332036,33.34,NA,NA,NA,6,12.7129986757551,2024,0,0,-34,"Tennessee",254044.376434583,12.445264241113,51.9451653908074,-4.51562733890012
"TN",1991,345542,33.34,NA,NA,NA,6,12.7528694777539,2024,0,0,-33,"Tennessee",253701.908957416,12.4439152700266,51.285173937183,-6.44443615341697
"TN",1992,295266,33.34,NA,NA,NA,6,12.5956319239546,2024,0,0,-32,"Tennessee",210453.314326443,12.2570191228342,41.9731464498583,-17.0252810016341
"TN",1993,365323,33.34,NA,NA,NA,6,12.8085371727504,2024,0,0,-31,"Tennessee",252818.685121107,12.440427851186,49.7120111940319,-10.555233618353
"TN",1994,421960,33.34,NA,NA,NA,6,12.9526658017957,2024,0,0,-30,"Tennessee",284723.34682861,12.5592732749218,55.146710145506,-6.38935202777132
"TN",1995,493072,33.34,NA,NA,NA,6,13.1084104869861,2024,0,0,-29,"Tennessee",323538.057742782,12.6870720297216,61.7301444530651,-1.07473508110467
"TN",1996,533862,33.34,NA,NA,NA,6,13.187892657578,2024,0,0,-28,"Tennessee",340256.21414914,12.7374541838271,64.0352587690737,-0.0384381259885203
"TN",1997,479660,50,NA,NA,NA,6,13.0808327985642,2024,0,0,-27,"Tennessee",298853.582554517,12.6077090419822,55.565177172332,-9.77733708362267
"TN",1998,607418,50,NA,NA,NA,6,13.3169724656624,2024,0,0,-26,"Tennessee",372649.079754601,12.8283924508438,68.5939809354834,1.98264931863628
"TN",1999,571428,50,NA,NA,NA,6,13.2558937700284,2024,0,0,-25,"Tennessee",342993.99759904,12.7454682262837,62.5497963629374,-5.33035261480217
"TN",2000,613924,50,NA,NA,NA,6,13.3276264209665,2024,0,0,-24,"Tennessee",356518.00232288,12.7841400149609,62.5062353743023,-6.64273096432972
"TN",2001,673465,50,NA,NA,NA,6,13.4201913061474,2024,0,0,-23,"Tennessee",380273.856578204,12.8486469473467,66.1255101827253,-4.29227351679918
"TN",2002,502977,50,NA,NA,NA,6,13.1282997223903,2024,0,0,-22,"Tennessee",279586.992773763,12.5410687674219,48.2386039232721,-23.4479971371448
"TN",2003,612943,50,NA,NA,NA,6,13.3260272252768,2024,0,0,-21,"Tennessee",333121.195652174,12.7162616536559,56.9651000497577,-15.9903183715517
"TN",2004,694798,50,NA,NA,NA,6.5,13.4513764348187,2024,0,0,-20,"Tennessee",367812.599258867,12.8153288462994,62.2271163319382,-11.9971194502636
"TN",2005,805601,50,NA,NA,NA,6.5,13.5993438616965,2024,0,0,-19,"Tennessee",412494.111623144,12.929977209802,68.8516419762229,-6.64141116687138
"TN",2006,928349,50,NA,NA,NA,6.5,13.7411630186551,2024,0,0,-18,"Tennessee",460490.575396825,13.040047668446,75.6295405993309,-1.13232990465583
"TN",2007,1120422,50,NA,NA,NA,6.5,13.9292159580197,2024,0,0,-17,"Tennessee",540373.875047024,13.2000165401672,87.4996377020914,9.46894983721224
"TN",2008,1005880,50,NA,NA,NA,6.5,13.8213733382327,2024,0,0,-16,"Tennessee",467192.746965904,13.054497185902,74.7818171344744,-4.51768809129722
"TN",2009,816261,50,NA,NA,NA,6.5,13.6124894357454,2024,0,0,-15,"Tennessee",380475.628912495,12.8491774040683,60.3353128039251,-20.233009782739
"TN",2010,901617,50,NA,NA,NA,6.5,13.7119450968982,2024,0,0,-14,"Tennessee",413479.564882416,12.9323633723514,65.0583579312364,-16.7787820163201
"TN",2011,1068573,50,NA,NA,NA,6.5,13.8818346714825,2024,0,0,-13,"Tennessee",475050.124700474,13.0711756031345,74.2231259701461,-8.88283133830288
"TN",2012,1115383,50,NA,NA,NA,6.5,13.9247084016524,2024,0,0,-12,"Tennessee",485806.684843681,13.0935660559407,75.2517576331434,-9.12301703619802
