"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population"
"842",1993,"AK",1124980,"Alaska",33.34,NA,NA,NA,596.993
"843",1993,"AL",73167,"Alabama",33.34,2021,0,-28,4193.114
"844",1993,"AR",15166,"Arkansas",33.34,2021,0,-28,2423.743
"845",1993,"AZ",0,"Arizona",50,2007,0,-14,3993.39
"846",1993,"CA",35407,"California",50,2011,0,-18,31147.208
"847",1993,"CO",22813,"Colorado",33.34,2009,0,-16,3560.884
"848",1993,"CT",NA,"Connecticut",50,2016,0,-23,3272.325
"849",1993,"DE",NA,"Delaware",33.34,2017,0,-24,699.475
"850",1993,"FL",64493,"Florida",50,NA,NA,NA,13713.593
"851",1993,"GA",NA,"Georgia",33.34,2006,0,-13,6894.092
"852",1993,"HI",NA,"Hawaii",33.34,NA,NA,NA,1161.508
"853",1993,"IA",NA,"Iowa",100,1978,1,15,2820.525
"854",1993,"ID",2104,"Idaho",33.34,2022,0,-29,1101.204
"855",1993,"IL",0,"Illinois",50,1999,0,-6,11725.984
"856",1993,"IN",692,"Indiana",33.34,2007,0,-14,5701.965
"857",1993,"KS",102685,"Kansas",33.34,NA,NA,NA,2547.605
"858",1993,"KY",199995,"Kentucky",50,2018,0,-25,3792.288
"859",1993,"LA",447060,"Louisiana",33.34,2016,0,-23,4284.749
"860",1993,"MA",NA,"Massachusetts",50,2025,0,-32,6010.884
"861",1993,"MD",NA,"Maryland",50,2018,0,-25,4942.504
"862",1993,"ME",NA,"Maine",50,2007,0,-14,1238.256
"863",1993,"MI",40069,"Michigan",50,1991,1,2,9529.24
"864",1993,"MN",3041,"Minnesota",70,2007,0,-14,4521.709
"865",1993,"MO",35,"Missouri",33.34,2020,0,-27,5237.757
"866",1993,"MS",40256,"Mississippi",33.34,NA,NA,NA,2635.574
"867",1993,"MT",97141,"Montana",33.34,2025,0,-32,839.876
"868",1993,"NC",1735,"North Carolina",50,2016,0,-23,6947.412
"869",1993,"ND",131035,"North Dakota",33.34,2016,0,-23,637.229
"870",1993,"NE",2344,"Nebraska",100,1988,1,5,1612.149
"871",1993,"NH",26,"New Hampshire",50,2022,0,-29,1122.191
"872",1993,"NJ",NA,"New Jersey",33.34,2012,0,-19,7874.891
"873",1993,"NM",309766,"New Mexico",33.34,NA,NA,NA,1614.937
"874",1993,"NV",19625,"Nevada",NA,NA,NA,NA,1380.197
"875",1993,"NY",NA,"New York",50,2015,0,-22,18140.894
"876",1993,"OH",9203,"Ohio",50,NA,NA,NA,11070.385
"877",1993,"OK",394134,"Oklahoma",33.34,NA,NA,NA,3228.829
"878",1993,"OR",70192,"Oregon",50,2004,0,-11,3034.49
"879",1993,"PA",NA,"Pennsylvania",33.34,2007,0,-14,12022.128
"880",1993,"RI",NA,"Rhode Island",33.34,2015,0,-22,997.852
"881",1993,"SC",NA,"South Carolina",33.34,2007,0,-14,3634.507
"882",1993,"SD",6348,"South Dakota",NA,NA,NA,NA,716.258
"883",1993,"TN",1015,"Tennessee",33.34,2024,0,-31,5085.666
"884",1993,"TX",1177946,"Texas",NA,NA,NA,NA,17996.764
"885",1993,"UT",20284,"Utah",33.34,2011,0,-18,1875.993
"886",1993,"VA",1582,"Virginia",33.34,NA,NA,NA,6464.795
"887",1993,"VT",NA,"Vermont",33.34,2023,0,-30,574.004
"888",1993,"WA",64998,"Washington",NA,NA,NA,NA,5247.704
"889",1993,"WI",1349,"Wisconsin",50,2006,0,-13,5055.318
"890",1993,"WV",170034,"West Virginia",50,2022,0,-29,1816.179
"891",1993,"WY",257251,"Wyoming",NA,NA,NA,NA,469.033
"892",1994,"AK",827522,"Alaska",33.34,NA,NA,NA,600.624
"893",1994,"AL",70892,"Alabama",33.34,2021,0,-27,4232.965
"894",1994,"AR",12922,"Arkansas",33.34,2021,0,-27,2450.605
"895",1994,"AZ",0,"Arizona",50,2007,0,-13,4147.561
"896",1994,"CA",46373,"California",50,2011,0,-17,31317.179
"897",1994,"CO",15409,"Colorado",33.34,2009,0,-15,3653.91
"898",1994,"CT",NA,"Connecticut",50,2016,0,-22,3268.346
"899",1994,"DE",NA,"Delaware",33.34,2017,0,-23,708.416
"900",1994,"FL",54362,"Florida",50,NA,NA,NA,13961.798
"901",1994,"GA",NA,"Georgia",33.34,2006,0,-12,7045.9
"902",1994,"HI",NA,"Hawaii",33.34,NA,NA,NA,1173.903
"903",1994,"IA",NA,"Iowa",100,1978,1,16,2829.422
"904",1994,"ID",2560,"Idaho",33.34,2022,0,-28,1135.459
"905",1994,"IL",0,"Illinois",50,1999,0,-5,11804.986
"906",1994,"IN",696,"Indiana",33.34,2007,0,-13,5745.626
"907",1994,"KS",105663,"Kansas",33.34,NA,NA,NA,2569.118
"908",1994,"KY",199261,"Kentucky",50,2018,0,-24,3823.215
"909",1994,"LA",370439,"Louisiana",33.34,2016,0,-22,4306.5
"910",1994,"MA",NA,"Massachusetts",50,2025,0,-31,6031.352
"911",1994,"MD",NA,"Maryland",50,2018,0,-24,4985.411
"912",1994,"ME",NA,"Maine",50,2007,0,-13,1237.687
"913",1994,"MI",33483,"Michigan",50,1991,1,3,9584.481
"914",1994,"MN",2720,"Minnesota",70,2007,0,-13,4566.028
"915",1994,"MO",61,"Missouri",33.34,2020,0,-26,5281.206
"916",1994,"MS",34214,"Mississippi",33.34,NA,NA,NA,2663.45
"917",1994,"MT",90893,"Montana",33.34,2025,0,-31,854.923
"918",1994,"NC",1863,"North Carolina",50,2016,0,-22,7060.959
"919",1994,"ND",110396,"North Dakota",33.34,2016,0,-22,639.762
"920",1994,"NE",1628,"Nebraska",100,1988,1,6,1621.551
"921",1994,"NH",0,"New Hampshire",50,2022,0,-28,1133.054
"922",1994,"NJ",NA,"New Jersey",33.34,2012,0,-18,7918.796
"923",1994,"NM",330669,"New Mexico",33.34,NA,NA,NA,1653.329
"924",1994,"NV",44176,"Nevada",NA,NA,NA,NA,1456.388
"925",1994,"NY",NA,"New York",50,2015,0,-21,18156.652
"926",1994,"OH",9060,"Ohio",50,NA,NA,NA,11111.451
"927",1994,"OK",372464,"Oklahoma",33.34,NA,NA,NA,3246.119
"928",1994,"OR",74744,"Oregon",50,2004,0,-10,3087.142
"929",1994,"PA",NA,"Pennsylvania",33.34,2007,0,-13,12042.545
"930",1994,"RI",NA,"Rhode Island",33.34,2015,0,-21,993.412
