"Year","State","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
1972,"OR",40606,23.74125,171035.644711209,2197.297,77.8391108308112
1972,"PA",481600,23.74125,2028536.82935818,11908.233,170.347425126648
1972,"RI",28619,23.74125,120545.464118359,974.79,123.663008564264
1972,"SC",52312,23.74125,220342.231348391,2719.197,81.0320956327883
1972,"SD",850,23.74125,3580.26641394198,677.234,5.28660169740737
1972,"TN",77804,23.74125,327716.527141578,4094.611,80.0360588934035
1972,"TX",0,23.74125,0,11759.148,0
1972,"UT",12636,23.74125,53223.819301848,1135.449,46.8746894856995
1972,"VA",77642,23.74125,327034.170483862,4824.472,67.7865205734145
1972,"VT",6593,23.74125,27770.2311377876,463.143,59.9603818643218
1972,"WA",0,23.74125,0,3447.885,0
1972,"WI",116805,23.74125,491991.786447639,4502.412,109.272937804812
1972,"WV",10608,23.74125,44681.7248459959,1797.648,24.8556585304775
1972,"WY",0,23.74125,0,347.345,0
1973,"AK",6964,25.0445,27806.5044221286,330.543,84.1237128667937
1973,"AL",40939,25.0445,163465.032242608,3579.78,45.6634296640039
1973,"AR",37825,25.0445,151031.164527142,2059.256,73.342588064399
1973,"AZ",37408,25.0445,149366.128291641,2124.438,70.3085372656867
1973,"CA",866347,25.0445,3459230.56958614,20868.728,165.761447922755
1973,"CO",38993,25.0445,155694.863143604,2495.868,62.381048654658
