"Abbreviation","State","EffectiveYear","Year","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
"AZ","Arizona",2008,2015,690960,104.6895,660008.883412377,6832.81,96.5940635569227
"AZ","Arizona",2008,1987,198948,57.00375,349008.617854089,3437.103,101.541506860309
"AZ","Arizona",2008,2001,541174,79.782,678315.910857086,5273.477,128.627831477616
"AZ","Arizona",2008,1980,117764,42.247,278751.15392809,2737.774,101.81671457472
"AZ","Arizona",2008,1990,179832,63.6315,282614.742698192,3679.056,76.8171897079555
"AZ","Arizona",2008,1959,5338,16.4025,32543.8195397043,1261,25.8079457095197
"AZ","Arizona",2008,1989,200027,61.33125,326142.056455722,3622.185,90.0401432990645
"AZ","Arizona",2008,1965,9276,17.78375,52159.977507556,1584,32.9292787295177
"AZ","Arizona",2008,1986,170821,55.6325,307052.532242844,3308.262,92.8138497624565
"AZ","Arizona",2008,2003,389406,82.61875,471328.844844542,5510.364,85.5349746123018
"AZ","Arizona",2008,2009,592187,95.02275,623205.495526071,6343.154,98.2485204562385
"AZ","Arizona",2008,1985,202301,54.5315,370980.075736042,3183.538,116.530751552531
"AZ","Arizona",2008,1950,2897,13.079,22150.0114687667,756,29.2989569692681
"AZ","Arizona",2008,1967,14407,18.81325,76579.006817004,1646,46.5243054781312
"AZ","Arizona",2008,1994,303239,70.3425,431089.313004229,4147.561,103.938028398914
"AZ","Arizona",2008,2008,784511,94.4225,830851.756731711,6280.362,132.293609306551
"AZ","Arizona",2008,1970,20910,21.66325,96522.9132286245,1775.399,54.3668849811364
"AZ","Arizona",2008,2004,525650,84.8365,619603.59043572,5652.404,109.617711408406
"AZ","Arizona",2008,1956,8518,15.3125,55627.7551020408,1053,52.8278775897823
"AZ","Arizona",2008,1952,6257,14.255,43893.3707471063,842,52.1298939989386
"AZ","Arizona",2008,1962,5574,17.00825,32772.3310746256,1471,22.2789470255782
"AZ","Arizona",2008,1996,448040,73.133,612637.249941887,4432.308,138.220820832372
"AZ","Arizona",2008,2013,662026,101.7475,650655.790068552,6634.69,98.0687552950555
"AZ","Arizona",2008,1999,545388,76.29125,714876.214506906,4778.332,149.607899682757
"AZ","Arizona",2008,1968,14723,19.613,75067.5572324479,1682,44.6299389015743
"AZ","Arizona",2008,1978,63842,35.76175,178520.346459555,2515.316,70.9733275896766
"AZ","Arizona",2008,1964,9174,17.4655,52526.4092067218,1556,33.7573323950654
"AZ","Arizona",2008,2018,373076,110.33475,338131.005870771,7164.228,47.1971307823775
"AZ","Arizona",2008,1998,528061,75.23225,701907.758973047,4667.277,150.389136743555
"AZ","Arizona",2008,1957,0,15.82125,0,1125,0
"AZ","Arizona",2008,1953,3444,14.4295,23867.7708860321,894,26.6977302975751
"AZ","Arizona",2008,1973,37408,25.0445,149366.128291641,2124.438,70.3085372656867
"AZ","Arizona",2008,1983,160429,51.012,314492.668391751,2968.925,105.928128326499
"AZ","Arizona",2008,1972,28126,23.74125,118468.909598273,2008.291,58.9899121184495
"AZ","Arizona",2008,2010,413193,96.1615,429686.51695325,6407.342,67.0615860606863
"AZ","Arizona",2008,1969,18080,20.577,87865.0920931137,1737,50.5843938359895
"AZ","Arizona",2008,1975,49553,29.8215,166165.350502154,2284.847,72.7249354123729
"AZ","Arizona",2008,1991,192325,65.7795,292378.324554002,3762.394,77.7107141235081
"AZ","Arizona",2008,2019,514264,112.31475,457877.52721704,7291.843,62.7931137871509
"AZ","Arizona",2008,1971,26987,22.75975,118573.35867046,1895.814,62.5448270085884
"AZ","Arizona",2008,1981,126510,46.244,273570.625378428,2810.107,97.3523874281044
"AZ","Arizona",2008,1979,89352,38.7415,230636.397661422,2635.571,87.5090815847579
"AZ","Arizona",2008,1974,39356,27.30475,144136.093536839,2223.196,64.8328323444442
"AZ","Arizona",2008,2016,570548,105.73675,539592.904075452,6944.767,77.6977692808775
"AZ","Arizona",2008,2021,905953,118.8655,762166.482284599,7264.877,104.911133703241
"AZ","Arizona",2008,1954,5032,14.56225,34555.0996583632,933,37.0365484012467
"AZ","Arizona",2008,1993,244856,68.87275,355519.418057214,3993.39,89.0269715848475
"AZ","Arizona",2008,2002,346280,81.02425,427378.223186268,5396.255,79.1990414067289
"AZ","Arizona",2008,1976,46499,31.4675,147768.332406451,2346.157,62.9831389827923
"AZ","Arizona",2008,2005,701859,87.4985,802138.322371241,5839.077,137.3741641652
"AZ","Arizona",2008,2000,523182,78.02075,670567.765626452,5160.586,129.940236559657
"AZ","Arizona",2008,2020,523062,113.7685,459759.951128827,7179.943,64.033927724611
"CA","California",2011,2009,9535679,95.02275,10035153.6868802,36961.229,271.504870329939
"CA","California",2011,1968,578812,19.613,2951165.04359353,19394,152.168972032254
"CA","California",2011,1958,172119,16.1795,1063809.14119719,14880,71.4925498116391
"CA","California",2011,2014,8858498,103.6485,8546672.64842231,38586.706,221.492672850134
"CA","California",2011,2018,12488304,110.33475,11318559.2027897,39437.463,287.000185655697
"CA","California",2011,1963,311275,17.20275,1809449.07064277,17668,102.413916155919
"CA","California",2011,2011,9613594,98.161,9793700.14567904,37636.311,260.219449926403
"CA","California",2011,2006,10316467,90.201,11437198.0354985,36021.202,317.512947943783
"CA","California",2011,2010,9114589,96.1615,9478418.077921,37319.55,253.979967012491
"CA","California",2011,1967,452574,18.81325,2405613.06525986,19176,125.449158597198
"CA","California",2011,2020,9817957,113.7685,8629767.46639008,39501.653,218.4659833448
"CA","California",2011,1952,119386,14.255,837502.63065591,11635,71.9813176326523
"CA","California",2011,1977,1641595,33.4185,4912234.24151293,22352.396,219.763207555599
"CA","California",2011,1994,4633449,70.3425,6586983.68696023,31317.179,210.331322848722
"CA","California",2011,2004,6925916,84.8365,8163839.85666547,35574.576,229.485232843407
"CA","California",2011,1984,3218856,52.85775,6089657.61879762,25844.393,235.627805953795
"CA","California",2011,2000,6638762,78.02075,8508969.72920665,33987.977,250.352344571925
"CA","California",2011,1969,592493,20.577,2879394.46955338,19711,146.080587973892
"CA","California",2011,1999,5459199,76.29125,7155734.11105468,33145.121,215.891023932442
"CA","California",2011,2007,11157898,92.638,12044623.1568039,36250.311,332.262615810493
"CA","California",2011,1979,2374712,38.7415,6129633.59704709,23256.88,263.562162983474
"CA","California",2011,2016,9902185,105.73675,9364941.7066441,39149.186,239.211658363576
"CA","California",2011,2012,7949000,99.9985,7949119.23678855,37944.551,209.493037268739
"CA","California",2011,1992,4518418,67.27675,6716165.68874091,30875.92,217.521152041491
"CA","California",2011,2015,9007182,104.6895,8603710.9738799,38904.296,221.150666082735
"CA","California",2011,1960,240064,16.62725,1443798.58365033,15870,90.9765963232722
"CA","California",2011,1970,587577,21.66325,2712321.55839959,19971.069,135.812537546167
"CA","California",2011,1950,74546,13.079,569967.122868721,10677,53.3827032751448
"CA","California",2011,1966,433825,18.28275,2372865.13243358,18858,125.82803756674
"CA","California",2011,1983,2553948,51.012,5006563.16160903,25360.026,197.419480627072
"CA","California",2011,1993,4727879,68.87275,6864658.37359478,31147.208,220.394019701374
"CA","California",2011,1989,5062844,61.33125,8254917.35452971,29218.164,282.526901913813
"CA","California",2011,1955,133412,14.807,901006.280813129,13133,68.6062804243607
"CA","California",2011,1972,661071,23.74125,2784482.70415416,20585.469,135.264477294841
"CA","California",2011,1996,5831072,73.133,7973243.26911244,31780.829,250.882167646176
"CA","California",2011,1975,1252633,29.8215,4200435.92709958,21537.849,195.025785866526
"CA","California",2011,2005,8670065,87.4985,9908815.57969565,35827.943,276.566689293205
"CA","California",2011,1988,4781873,59.01325,8103049.73882984,28464.249,284.674636553026
"CA","California",2011,1954,125841,14.56225,864159.041356933,12746,67.7984498161724
"CA","California",2011,2001,6899302,79.782,8647692.46195884,34479.458,250.80708814967
"CA","California",2011,1957,167339,15.82125,1057685.07545232,14264,74.1506642913853
