"State","Year","Revenue"
"IA","1997",0.007195846
"IA","1998",0.006331608
"IA","1999",0.007623443
"IA","2000",0.00659876
"IA","2001",0.005262176
"IA","2002",0.003515087
"IA","2003",0.004933366
"IA","2004",0.002971514
"IA","2005",0.004819444
"IA","2006",0.006003396
"IA","2007",0.006143328
"IA","2008",0.006964397
"IA","2009",0.006730688
"IA","2010",0.005055451
"IA","2011",0.006094577
"IA","2012",0.010206512
"IA","2013",0.009549604
"IA","2014",0.008360625
"IA","2015",0.009529295
"IA","2016",0.00826915
"IA","2017",0.009682906
"IA","2018",0.009148416
"IA","2019",0.008971791
"IA","2020",0.011853879
"IA","2021",0.008885803
"ID","...1",13
"ID","1950",0.005628364
"ID","1951",0.005092102
"ID","1952",0.004851014
"ID","1953",0.004343451
"ID","1954",0.003769149
"ID","1955",0.003618826
"ID","1956",0.004080961
"ID","1957",0.0041783
"ID","1958",0.003721717
"ID","1959",0.004699659
"ID","1960",0.004896926
"ID","1961",0.004338006
"ID","1962",0.003943888
"ID","1963",0.003594443
"ID","1964",0.003581912
"ID","1965",0.00423018
"ID","1966",0.004168155
"ID","1967",0.004302011
"ID","1968",0.003180812
"ID","1969",0.00315495
"ID","1970",0.002976235
"ID","1971",0.003669211
"ID","1972",0.002919944
"ID","1973",0.002953736
"ID","1974",0.003836716
"ID","1975",0.004239924
"ID","1976",0.004365918
"ID","1977",0.003382891
"ID","1978",0.003103472
"ID","1979",0.003236192
"ID","1980",0.003198179
"ID","1981",0.003597059
"ID","1982",0.002937927
"ID","1983",0.002365633
"ID","1984",0.001635831
"ID","1985",0.002420823
"ID","1986",0.002317289
"ID","1987",0.002310284
"ID","1988",0.002839396
"ID","1989",0.003001014
"ID","1990",0.003341989
"ID","1991",0.002933261
"ID","1992",0.003119778
"ID","1993",0.002935651
"ID","1994",0.003505389
"ID","1995",0.004452964
"ID","1996",0.00521001
"ID","1997",0.004501518
"ID","1998",0.003785758
"ID","1999",0.003125111
"ID","2000",0.003869994
"ID","2001",0.004480826
"ID","2002",0.003055709
"ID","2003",0.003293702
"ID","2004",0.003433255
"ID","2005",0.003633535
"ID","2006",0.004177493
"ID","2007",0.003557165
"ID","2008",0.003814526
"ID","2009",0.003621406
"ID","2010",0.002587137
"ID","2011",0.004145019
"ID","2012",0.004520771
"ID","2013",0.00446424
"ID","2014",0.004086801
"ID","2015",0.004465606
"ID","2016",0.004146939
"ID","2017",0.004855595
"ID","2018",0.004970861
"ID","2019",0.004773412
"ID","2020",0.004699037
"ID","2021",0.003935247
"IL","...1",14
"IL","1950",0
"IL","1951",0
"IL","1952",0
"IL","1953",0
"IL","1954",0
"IL","1955",0
"IL","1956",0
"IL","1957",0
"IL","1958",0
"IL","1959",0
"IL","1960",0
"IL","1961",0
"IL","1962",0
"IL","1963",0
"IL","1964",0
"IL","1965",0
"IL","1966",0
"IL","1967",0
"IL","1968",0
"IL","1969",0
"IL","1970",0.0377095
"IL","1971",0.04526538
"IL","1972",0.039383691
"IL","1973",0.042227328
"IL","1974",0.044383274
"IL","1975",0.046194426
"IL","1976",0.042918191
"IL","1977",0.041902987
"IL","1978",0.035023993
"IL","1979",0.040336181
"IL","1980",0.059898444
"IL","1981",0.059038935
"IL","1982",0.051007773
"IL","1983",0.045915215
"IL","1984",0.036357892
"IL","1985",0.040043176
"IL","1986",0.046707991
"IL","1987",0.042116972
"IL","1988",0.045063419
"IL","1989",0.044961037
"IL","1990",0.043177043
"IL","1991",0.046213347
"IL","1992",0.044415382
"IL","1993",0.045351964
"IL","1994",0.047846273
"IL","1995",0.050953019
"IL","1996",0.055304048
"IL","1997",0.058725801
"IL","1998",0.063095939
"IL","1999",0.068385641
"IL","2000",0.069531143
"IL","2001",0.069959601
"IL","2002",0.055081617
"IL","2003",0.045559696
"IL","2004",0.042295029
"IL","2005",0.056423131
"IL","2006",0.050564857
"IL","2007",0.055491538
"IL","2008",0.037304115
"IL","2009",0.043536311
"IL","2010",0.070690906
"IL","2011",0.068317986
"IL","2012",0.083769524
"IL","2013",0.099442128
"IL","2014",0.095497468
"IL","2015",0.083400558
"IL","2016",0.060182621
"IL","2017",0.06449366
"IL","2018",0.068520588
"IL","2019",0.064029121
"IL","2020",0.066705854
"IL","2021",0.064148928
"IN","...1",15
"IN","1950",0
"IN","1951",0
"IN","1952",0
"IN","1953",0
"IN","1954",0
"IN","1955",0
"IN","1956",0
"IN","1957",0
"IN","1958",0
"IN","1959",0
"IN","1960",0
"IN","1961",0
"IN","1962",0
"IN","1963",0
"IN","1964",0.000987076
"IN","1965",0.004870409
"IN","1966",0.006992568
"IN","1967",0.006495008
"IN","1968",0.004950357
"IN","1969",0.002779765
"IN","1970",0.002299927
"IN","1971",0.002797981
"IN","1972",0.002383693
"IN","1973",0.001858804
"IN","1974",0.002560471
"IN","1975",0.011657006
"IN","1976",0.011754511
"IN","1977",0.009396097
"IN","1978",0.017886264
"IN","1979",0.010461822
"IN","1980",0.013451434
"IN","1981",0.010950121
"IN","1982",0.008987831
"IN","1983",0.010641929
"IN","1984",0.008377012
"IN","1985",0.010115367
"IN","1986",0.00997311
"IN","1987",0.011510838
"IN","1988",0.012084972
"IN","1989",0.011817094
"IN","1990",0.015676343
"IN","1991",0.01524763
"IN","1992",0.030757985
"IN","1993",0.027122111
"IN","1994",0.031083415
"IN","1995",0.03007066
"IN","1996",0.030509368
"IN","1997",0.029437759
"IN","1998",0.029857158
"IN","1999",0.032166647
"IN","2000",0.028430678
"IN","2001",0.026036073
"IN","2002",0.028237397
"IN","2003",0.025688833
"IN","2004",0.021330054
"IN","2005",0.021317684
"IN","2006",0.021990563
"IN","2007",0.018654493
"IN","2008",0.01824079
"IN","2009",0.021360136
"IN","2010",0.015717133
"IN","2011",0.016596661
"IN","2012",0.01904559
"IN","2013",0.017416306
"IN","2014",0.01864308
"IN","2015",0.018587431
"IN","2016",0.02269602
"IN","2017",0.022984585
"IN","2018",0.014423317
"IN","2019",0.012602727
"IN","2020",0.014459308
