"State","Year","Revenue"
"ID","1955",2678
"ID","1956",3645
"ID","1957",4135
"ID","1958",3810
"ID","1959",4730
"ID","1960",5778
"ID","1961",5493
"ID","1962",5157
"ID","1963",5410
"ID","1964",6071
"ID","1965",8160
"ID","1966",8493
"ID","1967",9579
"ID","1968",8008
"ID","1969",10032
"ID","1970",11125
"ID","1971",12563
"ID","1972",12894
"ID","1973",16024
"ID","1974",23076
"ID","1975",28162
"ID","1976",31752
"ID","1977",31034
"ID","1978",33326
"ID","1979",39247
"ID","1980",42604
"ID","1981",50875
"ID","1982",41136
"ID","1983",31114
"ID","1984",25374
"ID","1985",42682
"ID","1986",42652
"ID","1987",47308
"ID","1988",61352
"ID","1989",71621
"ID","1990",72692
"ID","1991",59712
"ID","1992",68171
"ID","1993",71029
"ID","1994",90061
"ID","1995",129470
"ID","1996",152735
"ID","1997",138277
"ID","1998",117694
"ID","1999",96146
"ID","2000",125860
"ID","2001",141986
"ID","2002",76769
"ID","2003",93490
"ID","2004",103784
"ID","2005",140585
"ID","2006",198302
"ID","2007",188229
"ID","2008",190194
"ID","2009",142240
"ID","2010",98327
"ID","2011",170214
"ID","2012",188589
"ID","2013",200340
"ID","2014",190002
"ID","2015",217082
"ID","2016",188996
"ID","2017",216641
"ID","2018",240809
"ID","2019",284961
"ID","2020",245969
"ID","2021",351479
"IL","1950",0
"IL","1951",0
"IL","1952",0
"IL","1953",0
"IL","1954",0
"IL","1955",0
"IL","1956",0
"IL","1957",0
"IL","1958",0
"IL","1959",0
"IL","1960",0
"IL","1961",0
"IL","1962",0
"IL","1963",0
"IL","1964",0
"IL","1965",0
"IL","1966",0
"IL","1967",0
"IL","1968",0
"IL","1969",0
"IL","1970",140956
"IL","1971",154984
"IL","1972",173912
"IL","1973",229083
"IL","1974",266944
"IL","1975",306828
"IL","1976",312131
"IL","1977",384410
"IL","1978",376098
"IL","1979",489178
"IL","1980",797927
"IL","1981",835017
"IL","1982",714196
"IL","1983",603900
"IL","1984",563961
"IL","1985",706009
"IL","1986",859707
"IL","1987",862435
"IL","1988",973704
"IL","1989",1073022
"IL","1990",939149
"IL","1991",940759
"IL","1992",970531
"IL","1993",1097305
"IL","1994",1229274
"IL","1995",1481460
"IL","1996",1621276
"IL","1997",1803931
"IL","1998",1961566
"IL","1999",2103927
"IL","2000",2261293
"IL","2001",2216842
"IL","2002",1383823
"IL","2003",1293188
"IL","2004",1278538
"IL","2005",2183066
"IL","2006",2400270
"IL","2007",2936360
"IL","2008",1860000
"IL","2009",1710000
"IL","2010",2686686
"IL","2011",2805458
"IL","2012",3494539
"IL","2013",4462627
"IL","2014",4439832
"IL","2015",4054267
"IL","2016",2742812
"IL","2017",2877499
"IL","2018",3319420
"IL","2019",3822382
"IL","2020",3491688
"IL","2021",5729501
"IN","1950",0
"IN","1951",0
"IN","1952",0
"IN","1953",0
"IN","1954",0
"IN","1955",0
"IN","1956",0
"IN","1957",0
"IN","1958",0
"IN","1959",0
"IN","1960",0
"IN","1961",0
"IN","1962",0
"IN","1963",0
"IN","1964",1673
"IN","1965",9395
"IN","1966",14248
"IN","1967",14462
"IN","1968",12463
"IN","1969",8839
"IN","1970",8597
"IN","1971",9580
"IN","1972",10526
"IN","1973",10084
"IN","1974",15400
"IN","1975",77427
"IN","1976",85487
"IN","1977",86198
"IN","1978",192068
"IN","1979",126876
"IN","1980",179191
"IN","1981",154873
"IN","1982",125845
"IN","1983",139968
"IN","1984",129939
"IN","1985",178346
"IN","1986",183565
"IN","1987",235709
"IN","1988",261125
"IN","1989",282022
"IN","1990",340978
"IN","1991",310394
"IN","1992",672100
"IN","1993",656228
"IN","1994",798600
"IN","1995",874305
"IN","1996",894403
"IN","1997",904265
"IN","1998",928218
"IN","1999",989627
"IN","2000",924623
"IN","2001",825017
"IN","2002",709412
"IN","2003",729164
"IN","2004",644787
"IN","2005",824802
"IN","2006",1043873
"IN","2007",987111
"IN","2008",909494
"IN","2009",838974
"IN","2010",597347
"IN","2011",681537
"IN","2012",794508
"IN","2013",781585
"IN","2014",866747
"IN","2015",903572
"IN","2016",1034367
"IN","2017",1025498
"IN","2018",698725
"IN","2019",752352
"IN","2020",756866
"IN","2021",1385158
"KS","1950",3456
"KS","1951",3644
"KS","1952",3790
"KS","1953",3289
"KS","1954",3550
"KS","1955",3777
"KS","1956",4421
"KS","1957",4605
"KS","1958",5803
"KS","1959",7099
"KS","1960",8434
"KS","1961",8637
"KS","1962",8956
"KS","1963",10934
"KS","1964",10765
"KS","1965",11536
"KS","1966",22736
"KS","1967",23931
"KS","1968",19711
"KS","1969",20126
"KS","1970",19258
"KS","1971",25112
"KS","1972",33153
"KS","1973",53821
